instance_nr,opt,nbh,time,seed,makespan
J3017_1,64,api,1000,1,64
J3017_1,64,api,1000,2,64
J3017_1,64,api,1000,3,64
J3017_1,64,api,1000,4,64
J3017_1,64,api,1000,5,64
J3017_1,64,api,5000,1,64
J3017_1,64,api,5000,2,64
J3017_1,64,api,5000,3,64
J3017_1,64,api,5000,4,64
J3017_1,64,api,5000,5,64
J3018_1,53,swap,100,1,53
J3018_1,53,swap,100,2,53
J3018_1,53,swap,100,3,53
J3018_1,53,swap,100,4,53
J3018_1,53,swap,100,5,53
J3018_1,53,swap,500,1,53
J3018_1,53,swap,500,2,53
J3018_1,53,swap,500,3,53
J3018_1,53,swap,500,4,53
J3018_1,53,swap,500,5,53
J3018_1,53,swap,1000,1,53
J3018_1,53,swap,1000,2,53
J3018_1,53,swap,1000,3,53
J3018_1,53,swap,1000,4,53
J3018_1,53,swap,1000,5,53
J3018_1,53,swap,5000,1,53
J3018_1,53,swap,5000,2,53
J3018_1,53,swap,5000,3,53
J3018_1,53,swap,5000,4,53
J3018_1,53,swap,5000,5,53
J3018_1,53,api,100,1,53
J3018_1,53,api,100,2,53
J3018_1,53,api,100,3,53
J3018_1,53,api,100,4,53
J3018_1,53,api,100,5,53
J3018_1,53,api,500,1,53
J3018_1,53,api,500,2,53
J3018_1,53,api,500,3,53
J3018_1,53,api,500,4,53
J3018_1,53,api,500,5,53
J3018_1,53,api,1000,1,53
J3018_1,53,api,1000,2,53
J3018_1,53,api,1000,3,53
J3018_1,53,api,1000,4,53
J3018_1,53,api,1000,5,53
J3018_1,53,api,5000,1,53
J3018_1,53,api,5000,2,53
J3018_1,53,api,5000,3,53
J3018_1,53,api,5000,4,53
J3018_1,53,api,5000,5,53
J3019_1,40,swap,100,1,40
J3019_1,40,swap,100,2,40
J3019_1,40,swap,100,3,40
J3019_1,40,swap,100,4,40
J3019_1,40,swap,100,5,40
J3019_1,40,swap,500,1,40
J3019_1,40,swap,500,2,40
J3019_1,40,swap,500,3,40
J3019_1,40,swap,500,4,40
J3019_1,40,swap,500,5,40
J3019_1,40,swap,1000,1,40
J3019_1,40,swap,1000,2,40
J3019_1,40,swap,1000,3,40
J3019_1,40,swap,1000,4,40
J3019_1,40,swap,1000,5,40
J3019_1,40,swap,5000,1,40
J3019_1,40,swap,5000,2,40
J3019_1,40,swap,5000,3,40
J3019_1,40,swap,5000,4,40
J3019_1,40,swap,5000,5,40
J3019_1,40,api,100,1,40
J3019_1,40,api,100,2,40
J3019_1,40,api,100,3,40
J3019_1,40,api,100,4,40
J3019_1,40,api,100,5,40
J3019_1,40,api,500,1,40
J3019_1,40,api,500,2,40
J3019_1,40,api,500,3,40
J3019_1,40,api,500,4,40
J3019_1,40,api,500,5,40
J3019_1,40,api,1000,1,40
J3019_1,40,api,1000,2,40
J3019_1,40,api,1000,3,40
J3019_1,40,api,1000,4,40
J3019_1,40,api,1000,5,40
J3019_1,40,api,5000,1,40
J3019_1,40,api,5000,2,40
J3019_1,40,api,5000,3,40
J3019_1,40,api,5000,4,40
J3019_1,40,api,5000,5,40
J301_1,43,swap,100,1,43
J301_1,43,swap,100,2,43
J301_1,43,swap,100,3,43
J301_1,43,swap,100,4,43
J301_1,43,swap,100,5,43
J301_1,43,swap,500,1,43
J301_1,43,swap,500,2,43
J301_1,43,swap,500,3,43
J301_1,43,swap,500,4,43
J301_1,43,swap,500,5,43
J301_1,43,swap,1000,1,43
J301_1,43,swap,1000,2,43
J301_1,43,swap,1000,3,43
J301_1,43,swap,1000,4,43
J301_1,43,swap,1000,5,43
J301_1,43,swap,5000,1,43
J301_1,43,swap,5000,2,43
J301_1,43,swap,5000,3,43
J301_1,43,swap,5000,4,43
J301_1,43,swap,5000,5,43
J301_1,43,api,100,1,49
J301_1,43,api,100,2,49
J301_1,43,api,100,3,49
J301_1,43,api,100,4,49
J301_1,43,api,100,5,49
J301_1,43,api,500,1,49
J301_1,43,api,500,2,49
J301_1,43,api,500,3,43
J301_1,43,api,500,4,43
J301_1,43,api,500,5,49
J301_1,43,api,1000,1,43
J301_1,43,api,1000,2,43
J301_1,43,api,1000,3,49
J301_1,43,api,1000,4,43
J301_1,43,api,1000,5,43
J301_1,43,api,5000,1,43
J301_1,43,api,5000,2,43
J301_1,43,api,5000,3,43
J301_1,43,api,5000,4,43
J301_1,43,api,5000,5,43
J3020_1,57,swap,100,1,57
J3020_1,57,swap,100,2,57
J3020_1,57,swap,100,3,57
J3020_1,57,swap,100,4,57
J3020_1,57,swap,100,5,57
J3020_1,57,swap,500,1,57
J3020_1,57,swap,500,2,57
J3020_1,57,swap,500,3,57
J3020_1,57,swap,500,4,57
J3020_1,57,swap,500,5,57
J3020_1,57,swap,1000,1,57
J3020_1,57,swap,1000,2,57
J3020_1,57,swap,1000,3,57
J3020_1,57,swap,1000,4,57
J3020_1,57,swap,1000,5,57
J3020_1,57,swap,5000,1,57
J3020_1,57,swap,5000,2,57
J3020_1,57,swap,5000,3,57
J3020_1,57,swap,5000,4,57
J3020_1,57,swap,5000,5,57
J3020_1,57,api,100,1,57
J3020_1,57,api,100,2,57
J3020_1,57,api,100,3,57
J3020_1,57,api,100,4,57
J3020_1,57,api,100,5,57
J3020_1,57,api,500,1,57
J3020_1,57,api,500,2,57
J3020_1,57,api,500,3,57
J3020_1,57,api,500,4,57
J3020_1,57,api,500,5,57
J3020_1,57,api,1000,1,57
J3020_1,57,api,1000,2,57
J3020_1,57,api,1000,3,57
J3020_1,57,api,1000,4,57
J3020_1,57,api,1000,5,57
J3020_1,57,api,5000,1,57
J3020_1,57,api,5000,2,57
J3020_1,57,api,5000,3,57
J3020_1,57,api,5000,4,57
J3020_1,57,api,5000,5,57
J3021_1,84,swap,100,1,89
J3021_1,84,swap,100,2,86
J3021_1,84,swap,100,3,84
J3021_1,84,swap,100,4,85
J3021_1,84,swap,100,5,86
J3021_1,84,swap,500,1,84
J3021_1,84,swap,500,2,85
J3021_1,84,swap,500,3,84
J3021_1,84,swap,500,4,84
J3021_1,84,swap,500,5,84
J3021_1,84,swap,1000,1,84
J3021_1,84,swap,1000,2,84
J3021_1,84,swap,1000,3,84
J3021_1,84,swap,1000,4,84
J3021_1,84,swap,1000,5,84
J3021_1,84,swap,5000,1,84
J3021_1,84,swap,5000,2,84
J3021_1,84,swap,5000,3,84
J3021_1,84,swap,5000,4,84
J3021_1,84,swap,5000,5,84
J3021_1,84,api,100,1,85
J3021_1,84,api,100,2,85
J3021_1,84,api,100,3,92
J3021_1,84,api,100,4,89
J3021_1,84,api,100,5,84
J3021_1,84,api,500,1,85
J3021_1,84,api,500,2,89
J3021_1,84,api,500,3,84
J3021_1,84,api,500,4,89
J3021_1,84,api,500,5,84
J3021_1,84,api,1000,1,85
J3021_1,84,api,1000,2,89
J3021_1,84,api,1000,3,84
J3021_1,84,api,1000,4,89
J3021_1,84,api,1000,5,89
J3021_1,84,api,5000,1,84
J3021_1,84,api,5000,2,84
J3021_1,84,api,5000,3,85
J3021_1,84,api,5000,4,84
J3021_1,84,api,5000,5,85
J3022_1,42,swap,100,1,42
J3022_1,42,swap,100,2,42
J3022_1,42,swap,100,3,42
J3022_1,42,swap,100,4,42
J3022_1,42,swap,100,5,42
J3022_1,42,swap,500,1,42
J3022_1,42,swap,500,2,42
J3022_1,42,swap,500,3,42
J3022_1,42,swap,500,4,42
J3022_1,42,swap,500,5,42
J3022_1,42,swap,1000,1,42
J3022_1,42,swap,1000,2,42
J3022_1,42,swap,1000,3,42
J3022_1,42,swap,1000,4,42
J3022_1,42,swap,1000,5,42
J3022_1,42,swap,5000,1,42
J3022_1,42,swap,5000,2,42
J3022_1,42,swap,5000,3,42
J3022_1,42,swap,5000,4,42
J3022_1,42,swap,5000,5,42
J3022_1,42,api,100,1,42
J3022_1,42,api,100,2,42
J3022_1,42,api,100,3,43
J3022_1,42,api,100,4,42
J3022_1,42,api,100,5,42
J3022_1,42,api,500,1,42
J3022_1,42,api,500,2,42
J3022_1,42,api,500,3,42
J3022_1,42,api,500,4,42
J3022_1,42,api,500,5,42
J3022_1,42,api,1000,1,42
J3022_1,42,api,1000,2,42
J3022_1,42,api,1000,3,42
J3022_1,42,api,1000,4,42
J3022_1,42,api,1000,5,42
J3022_1,42,api,5000,1,42
J3022_1,42,api,5000,2,42
J3022_1,42,api,5000,3,42
J3022_1,42,api,5000,4,42
J3022_1,42,api,5000,5,42
J3023_1,63,swap,100,1,63
J3023_1,63,swap,100,2,63
J3023_1,63,swap,100,3,63
J3023_1,63,swap,100,4,63
J3023_1,63,swap,100,5,63
J3023_1,63,swap,500,1,63
J3023_1,63,swap,500,2,63
J3023_1,63,swap,500,3,63
J3023_1,63,swap,500,4,63
J3023_1,63,swap,500,5,63
J3023_1,63,swap,1000,1,63
J3023_1,63,swap,1000,2,63
J3023_1,63,swap,1000,3,63
J3023_1,63,swap,1000,4,63
J3023_1,63,swap,1000,5,63
J3023_1,63,swap,5000,1,63
J3023_1,63,swap,5000,2,63
J3023_1,63,swap,5000,3,63
J3023_1,63,swap,5000,4,63
J3023_1,63,swap,5000,5,63
J3023_1,63,api,100,1,63
J3023_1,63,api,100,2,63
J3023_1,63,api,100,3,63
J3023_1,63,api,100,4,63
J3023_1,63,api,100,5,63
J3023_1,63,api,500,1,63
J3023_1,63,api,500,2,63
J3023_1,63,api,500,3,63
J3023_1,63,api,500,4,63
J3023_1,63,api,500,5,63
J3023_1,63,api,1000,1,63
J3023_1,63,api,1000,2,63
J3023_1,63,api,1000,3,63
J3023_1,63,api,1000,4,63
J3023_1,63,api,1000,5,63
J3023_1,63,api,5000,1,63
J3023_1,63,api,5000,2,63
J3023_1,63,api,5000,3,63
J3023_1,63,api,5000,4,63
J3023_1,63,api,5000,5,63
J3024_1,53,swap,100,1,53
J3024_1,53,swap,100,2,53
J3024_1,53,swap,100,3,53
J3024_1,53,swap,100,4,53
J3024_1,53,swap,100,5,53
J3024_1,53,swap,500,1,53
J3024_1,53,swap,500,2,53
