instance_nr,opt,nbh,time,seed,makespan
X17_1,140,api,5000,1,155
X17_1,140,api,5000,2,154
X17_1,140,api,5000,3,158
X17_1,140,api,5000,4,156
X17_1,140,api,5000,5,160
X18_1,138,swap,100,1,149
X18_1,138,swap,100,2,151
X18_1,138,swap,100,3,152
X18_1,138,swap,100,4,152
X18_1,138,swap,100,5,152
X18_1,138,swap,500,1,148
X18_1,138,swap,500,2,147
X18_1,138,swap,500,3,149
X18_1,138,swap,500,4,149
X18_1,138,swap,500,5,150
X18_1,138,swap,1000,1,148
X18_1,138,swap,1000,2,150
X18_1,138,swap,1000,3,149
X18_1,138,swap,1000,4,149
X18_1,138,swap,1000,5,147
X18_1,138,swap,5000,1,143
X18_1,138,swap,5000,2,145
X18_1,138,swap,5000,3,143
X18_1,138,swap,5000,4,145
X18_1,138,swap,5000,5,144
X18_1,138,api,100,1,154
X18_1,138,api,100,2,155
X18_1,138,api,100,3,153
X18_1,138,api,100,4,155
X18_1,138,api,100,5,154
X18_1,138,api,500,1,153
X18_1,138,api,500,2,150
X18_1,138,api,500,3,151
X18_1,138,api,500,4,147
X18_1,138,api,500,5,148
X18_1,138,api,1000,1,152
X18_1,138,api,1000,2,151
X18_1,138,api,1000,3,152
X18_1,138,api,1000,4,149
X18_1,138,api,1000,5,147
X18_1,138,api,5000,1,149
X18_1,138,api,5000,2,146
X18_1,138,api,5000,3,147
X18_1,138,api,5000,4,148
X18_1,138,api,5000,5,147
X19_1,88,swap,100,1,105
X19_1,88,swap,100,2,98
X19_1,88,swap,100,3,106
X19_1,88,swap,100,4,102
X19_1,88,swap,100,5,102
X19_1,88,swap,500,1,93
X19_1,88,swap,500,2,93
X19_1,88,swap,500,3,95
X19_1,88,swap,500,4,99
X19_1,88,swap,500,5,93
X19_1,88,swap,1000,1,91
X19_1,88,swap,1000,2,91
X19_1,88,swap,1000,3,90
X19_1,88,swap,1000,4,89
X19_1,88,swap,1000,5,91
X19_1,88,swap,5000,1,88
X19_1,88,swap,5000,2,88
X19_1,88,swap,5000,3,88
X19_1,88,swap,5000,4,88
X19_1,88,swap,5000,5,88
X19_1,88,api,100,1,107
X19_1,88,api,100,2,107
X19_1,88,api,100,3,108
X19_1,88,api,100,4,107
X19_1,88,api,100,5,107
X19_1,88,api,500,1,106
X19_1,88,api,500,2,107
X19_1,88,api,500,3,106
X19_1,88,api,500,4,107
X19_1,88,api,500,5,106
X19_1,88,api,1000,1,103
X19_1,88,api,1000,2,103
X19_1,88,api,1000,3,105
X19_1,88,api,1000,4,105
X19_1,88,api,1000,5,103
X19_1,88,api,5000,1,96
X19_1,88,api,5000,2,98
X19_1,88,api,5000,3,99
X19_1,88,api,5000,4,96
X19_1,88,api,5000,5,100
X1_1,105,swap,100,1,118
X1_1,105,swap,100,2,120
X1_1,105,swap,100,3,119
X1_1,105,swap,100,4,116
X1_1,105,swap,100,5,118
X1_1,105,swap,500,1,114
X1_1,105,swap,500,2,113
X1_1,105,swap,500,3,117
X1_1,105,swap,500,4,117
X1_1,105,swap,500,5,116
X1_1,105,swap,1000,1,113
X1_1,105,swap,1000,2,112
X1_1,105,swap,1000,3,114
X1_1,105,swap,1000,4,114
X1_1,105,swap,1000,5,115
X1_1,105,swap,5000,1,111
X1_1,105,swap,5000,2,110
X1_1,105,swap,5000,3,110
X1_1,105,swap,5000,4,111
X1_1,105,swap,5000,5,112
X1_1,105,api,100,1,119
X1_1,105,api,100,2,122
X1_1,105,api,100,3,123
X1_1,105,api,100,4,120
X1_1,105,api,100,5,119
X1_1,105,api,500,1,119
X1_1,105,api,500,2,119
X1_1,105,api,500,3,119
X1_1,105,api,500,4,118
X1_1,105,api,500,5,118
X1_1,105,api,1000,1,117
X1_1,105,api,1000,2,119
X1_1,105,api,1000,3,122
X1_1,105,api,1000,4,117
X1_1,105,api,1000,5,118
X1_1,105,api,5000,1,119
X1_1,105,api,5000,2,115
X1_1,105,api,5000,3,115
X1_1,105,api,5000,4,115
X1_1,105,api,5000,5,112
X20_1,89,swap,100,1,101
X20_1,89,swap,100,2,103
X20_1,89,swap,100,3,104
X20_1,89,swap,100,4,102
X20_1,89,swap,100,5,102
X20_1,89,swap,500,1,98
X20_1,89,swap,500,2,97
X20_1,89,swap,500,3,96
X20_1,89,swap,500,4,99
X20_1,89,swap,500,5,99
X20_1,89,swap,1000,1,95
X20_1,89,swap,1000,2,95
X20_1,89,swap,1000,3,96
X20_1,89,swap,1000,4,95
X20_1,89,swap,1000,5,95
X20_1,89,swap,5000,1,93
X20_1,89,swap,5000,2,93
X20_1,89,swap,5000,3,93
X20_1,89,swap,5000,4,93
X20_1,89,swap,5000,5,91
X20_1,89,api,100,1,104
X20_1,89,api,100,2,103
X20_1,89,api,100,3,104
X20_1,89,api,100,4,104
X20_1,89,api,100,5,103
X20_1,89,api,500,1,102
